"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,33,1085,2410,440,91.497,0.66046,0,43.07655107,10.69519875,2.3824095178837e-07,-0.1038460562334,-0.0916767392633095,0.0331505297231337,-0.142547714083864,0,-0.147981255103799,-0.126076484557636,64.9123654955786,0,0,0
1,34,1074,2389,428,86.326,0.72172,0,43.07655804,10.6951951,1.74451927883191e-07,-0.163697438889408,-0.154955236205189,-0.143381885304929,0.0355878748313368,0,-0.0223235326246089,-0.195756345018537,76.0545821153009,0,0,0
1,35,1063,2368,457,88.326,0.73612,0,43.076565,10.69519144,9.71996264607419e-08,-0.0411899776236102,-0.0394213481841622,-0.0729568400970922,0.0733336710172518,0,-0.000143287561336644,-0.0478872280095062,38.6814015228942,0,0,0
1,36,1052,2347,476,89.497,0.74678,0,43.07657197,10.69518778,2.45144683176585e-08,0.0438106860472592,0.0400183740321308,-0.0322759180355565,0.104323954141408,0,-0.00462892960816301,0.0521983879160139,4.481048689658,0,0,0
1,37,1042,2326,478,90.912,0.72677,0,43.07657894,10.69518446,2.54297847315131e-07,0.0477979331330878,0.0463771442105279,0.0168714140000301,0.0514388089917257,0,-0.00603844712175103,0.0621594211611262,-13.6810714154435,0,0,0
1,38,1031,2305,485,89.983,0.75272,0,43.07658591,10.6951808,1.81612689172029e-07,0.0628373604320076,0.0633274409445158,-0.0102185439930648,0.0841835044672441,0,0.00139351617628896,0.105174190706312,-31.9395538234461,0,0,0
1,39,1020,2284,459,86.669,0.76788,0,43.07659287,10.69517715,1.13256520407261e-07,-0.0168090780847302,-0.0231566997937932,-0.0593887939079896,0.129738123680744,0,-0.00422735398181846,-0.0413907398000808,-14.3322871414469,0,0,0
1,40,1009,2263,454,85.497,0.78048,0,43.07659984,10.69517349,4.05713638444376e-08,-0.0180202957105174,-0.0373220064578364,-0.0714484778953843,0.22898250872207,0,0.0249967729806909,-0.0628683883292882,-18.9806933636413,0,0,0
1,41,999,2242,468,88.912,0.74394,0,43.07660681,10.69517017,2.70354746087034e-07,0.00304183082661006,0.00516753349147892,-0.0218155427347426,0.120530119375088,0,-0.00407255491561718,0.00876606904002922,-41.1446676017131,0,0,0
1,42,988,2221,411,82.912,0.75131,0,43.07661378,10.69516651,1.97669587943951e-07,-0.122270154510538,-0.141573664488196,-0.132575258370102,0.101939744175831,0,0.257846626077549,-0.250304743586649,11.915895032654,0,0,0
1,43,977,2200,404,82.669,0.74286,0,43.07662074,10.69516286,1.29313419179164e-07,-0.130242830806982,-0.168660293572436,-0.1210001959544,0.0767941786153644,0,0.281982642676299,-0.257508298730001,19.6457467405651,0,0,0
1,44,966,2179,385,84.912,0.67102,0,43.07662771,10.6951592,5.66282593711801e-08,-0.151163457316925,-0.273792769825996,-0.0815814686991694,-0.110638972984923,0,0.514515783456027,-0.313351468430718,41.5798252669117,0,0,0
1,45,956,2158,382,82.083,0.71247,0,43.07663468,10.69515588,2.86411640033553e-07,-0.145465776104552,-0.278455813770156,-0.131073149517189,0.0105920525110213,0,0.528563169449292,-0.298098943040582,48.0935138156898,0,0,0
1,46,945,2137,359,79.74,0.7095,1,43.07664164,10.69515222,2.09159338611104e-07,-0.22930992737519,-0.35153896823379,-0.20685903513116,0.00309206759367937,0,0.45012944014826,-0.359208928104287,78.6946594380256,0,0,0
